k, value
85,0.597869
85,0.601905
85,0.591887
85,0.606733
85,0.599639
85,0.596878
85,0.597862
85,0.598753
85,0.596246
85,0.597308
86,0.61077
86,0.60802
86,0.596913
86,0.601341
86,0.603965
86,0.603203
86,0.592681
86,0.599556
86,0.596677
86,0.608643
87,0.609825
87,0.605847
87,0.606474
87,0.602054
87,0.604638
87,0.605228
87,0.60202
87,0.609389
87,0.607457
87,0.607362
88,0.610524
88,0.608146
88,0.617692
88,0.607524
88,0.619821
88,0.616485
88,0.616231
88,0.602657
88,0.609584
88,0.611283
89,0.609529
89,0.613396
89,0.613707
89,0.607557
89,0.620909
89,0.611349
89,0.617283
89,0.609055
89,0.62468
89,0.615651
90,0.61595
90,0.611164
90,0.615068
90,0.618711
90,0.609243
90,0.619895
90,0.615264
90,0.611529
90,0.61878
90,0.615728
91,0.622767
91,0.623956
91,0.619281
91,0.621318
91,0.615618
91,0.624772
91,0.625943
91,0.616351
91,0.622439
91,0.613421
92,0.624722
92,0.625132
92,0.62039
92,0.620992
92,0.629146
92,0.629861
92,0.625024
92,0.62902
92,0.62734
92,0.619578
93,0.616265
93,0.62575
93,0.628932
93,0.626736
93,0.628081
93,0.627222
93,0.633887
93,0.627571
93,0.629143
93,0.622389
94,0.630014
94,0.6286
94,0.630043
94,0.619527
94,0.635944
94,0.632543
94,0.629203
94,0.631153
94,0.628479
94,0.62566
95,0.633066
95,0.631592
95,0.631785
95,0.630522
95,0.633728
95,0.633088
95,0.62916
95,0.633303
95,0.640148
95,0.631645
96,0.634671
96,0.640031
96,0.635327
96,0.640874
96,0.632093
96,0.631323
96,0.631904
96,0.641142
96,0.637964
96,0.637661
97,0.645467
97,0.639397
97,0.643721
97,0.636306
97,0.631242
97,0.648257
97,0.638343
97,0.6426
97,0.644474
97,0.639814
98,0.641555
98,0.639386
98,0.651916
98,0.641689
98,0.637769
98,0.643106
98,0.63767
98,0.640031
98,0.645825
98,0.639022
99,0.641955
99,0.64658
99,0.642553
99,0.636532
99,0.64252
99,0.647633
99,0.645284
99,0.638013
99,0.637026
99,0.640419
100,0.643148
100,0.645743
100,0.651936
100,0.649125
100,0.655821
100,0.649899
100,0.651789
100,0.638079
100,0.648926
100,0.647635
101,0.638765
101,0.652974
101,0.651066
101,0.652862
101,0.647004
101,0.656425
101,0.655756
101,0.646266
101,0.65085
101,0.65265
102,0.650601
102,0.656228
102,0.654862
102,0.651554
102,0.64755
102,0.664949
102,0.656535
102,0.65245
102,0.65568
102,0.654142
103,0.653112
103,0.661113
103,0.662343
103,0.666289
103,0.655316
103,0.659461
103,0.66529
103,0.664135
103,0.661471
103,0.659727
104,0.657292
104,0.653057
104,0.6566
104,0.65894
104,0.660436
104,0.659749
104,0.662511
104,0.658122
104,0.657419
104,0.658159
105,0.661068
105,0.659307
105,0.66334
105,0.662908
105,0.662834
105,0.657795
105,0.658163
105,0.664182
105,0.659732
105,0.665474
106,0.668444
106,0.670004
106,0.661626
106,0.669707
106,0.669923
106,0.667584
106,0.665746
106,0.674022
106,0.672139
106,0.66621
107,0.667203
107,0.677303
107,0.664792
107,0.671667
107,0.669721
107,0.66986
107,0.669914
107,0.672685
107,0.668139
107,0.669839
108,0.680089
108,0.669505
108,0.680876
108,0.670176
108,0.670219
108,0.668666
108,0.668969
108,0.668627
108,0.673273
108,0.66907
109,0.679386
109,0.672636
109,0.673962
109,0.67107
109,0.67313
109,0.674684
109,0.675539
109,0.673209
109,0.677221
109,0.672751
110,0.679386
110,0.67708
110,0.682826
110,0.676097
110,0.673065
110,0.680365
110,0.677927
110,0.677195
110,0.682207
110,0.673482
111,0.686126
111,0.674411
111,0.685019
111,0.676232
111,0.681551
111,0.683381
111,0.681809
111,0.684532
111,0.678121
111,0.676393
112,0.681597
112,0.680901
112,0.680515
112,0.685355
112,0.684717
112,0.68685
112,0.67793
112,0.680627
112,0.685895
112,0.685863
113,0.688614
113,0.686187
113,0.695677
113,0.687464
113,0.676698
113,0.685118
113,0.684508
113,0.687772
113,0.686195
113,0.6858
114,0.693489
114,0.686683
114,0.683443
114,0.685181
114,0.683061
114,0.69217
114,0.688343
114,0.682781
114,0.690424
114,0.689578
115,0.697708
115,0.691402
115,0.687898
115,0.688558
115,0.692347
115,0.687519
115,0.688879
115,0.689944
115,0.692201
115,0.691447
116,0.691866
116,0.699027
116,0.693504
116,0.686148
116,0.698277
116,0.698435
116,0.687203
116,0.692271
116,0.694026
116,0.690383
117,0.69572
117,0.701314
117,0.69534
117,0.69638
117,0.696607
117,0.700894
117,0.69428
117,0.691667
117,0.699651
117,0.694921
118,0.699848
118,0.698719
